operation,file_size(KB),record_size(KB),num_threads,memory_size,time(ms),throughput(KB/ms)
write,64,32,2,4,0.223000,143.497758
write,64,32,2,4,0.063000,507.936508
read,64,32,2,4,0.026000,1230.769231
read,64,32,2,4,0.012000,2666.666667
write,256,32,2,4,0.155000,206.451613
write,256,32,2,4,0.053000,603.773585
write,256,32,2,4,0.057000,561.403509
write,256,32,2,4,0.050000,640.000000
write,256,32,2,4,0.054000,592.592593
write,256,32,2,4,0.047000,680.851064
write,256,32,2,4,0.050000,640.000000
write,256,32,2,4,0.052000,615.384615
read,256,32,2,4,0.036000,888.888889
read,256,32,2,4,0.006000,5333.333333
read,256,32,2,4,0.005000,6400.000000
read,256,32,2,4,0.005000,6400.000000
read,256,32,2,4,0.006000,5333.333333
read,256,32,2,4,0.005000,6400.000000
read,256,32,2,4,0.006000,5333.333333
read,256,32,2,4,0.011000,2909.090909
write,256,128,2,4,0.159000,805.031447
write,256,128,2,4,0.110000,1163.636364
read,256,128,2,4,0.033000,3878.787879
read,256,128,2,4,0.018000,7111.111111
write,1024,32,2,4,0.113000,283.185841
write,1024,32,2,4,0.049000,653.061224
write,1024,32,2,4,0.047000,680.851064
write,1024,32,2,4,0.048000,666.666667
write,1024,32,2,4,0.050000,640.000000
write,1024,32,2,4,0.052000,615.384615
write,1024,32,2,4,0.047000,680.851064
write,1024,32,2,4,0.049000,653.061224
write,1024,32,2,4,0.063000,507.936508
write,1024,32,2,4,0.055000,581.818182
write,1024,32,2,4,0.052000,615.384615
write,1024,32,2,4,0.053000,603.773585
write,1024,32,2,4,0.056000,571.428571
write,1024,32,2,4,0.052000,615.384615
write,1024,32,2,4,0.052000,615.384615
write,1024,32,2,4,0.055000,581.818182
write,1024,32,2,4,0.050000,640.000000
write,1024,32,2,4,0.054000,592.592593
write,1024,32,2,4,0.053000,603.773585
write,1024,32,2,4,0.053000,603.773585
write,1024,32,2,4,0.053000,603.773585
write,1024,32,2,4,0.050000,640.000000
write,1024,32,2,4,0.051000,627.450980
write,1024,32,2,4,0.051000,627.450980
write,1024,32,2,4,0.052000,615.384615
write,1024,32,2,4,0.052000,615.384615
write,1024,32,2,4,0.049000,653.061224
write,1024,32,2,4,0.050000,640.000000
write,1024,32,2,4,0.058000,551.724138
write,1024,32,2,4,0.052000,615.384615
write,1024,32,2,4,0.054000,592.592593
write,1024,32,2,4,0.047000,680.851064
read,1024,32,2,4,0.034000,941.176471
read,1024,32,2,4,0.006000,5333.333333
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.006000,5333.333333
read,1024,32,2,4,0.006000,5333.333333
read,1024,32,2,4,0.006000,5333.333333
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.006000,5333.333333
read,1024,32,2,4,0.006000,5333.333333
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.017000,1882.352941
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.007000,4571.428571
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.005000,6400.000000
read,1024,32,2,4,0.006000,5333.333333
read,1024,32,2,4,0.004000,8000.000000
write,1024,128,2,4,0.161000,795.031056
write,1024,128,2,4,0.107000,1196.261682
write,1024,128,2,4,0.099000,1292.929293
write,1024,128,2,4,0.097000,1319.587629
write,1024,128,2,4,0.101000,1267.326733
write,1024,128,2,4,0.101000,1267.326733
write,1024,128,2,4,0.102000,1254.901961
write,1024,128,2,4,0.102000,1254.901961
read,1024,128,2,4,0.030000,4266.666667
read,1024,128,2,4,0.013000,9846.153846
read,1024,128,2,4,0.011000,11636.363636
read,1024,128,2,4,0.011000,11636.363636
read,1024,128,2,4,0.013000,9846.153846
