file_size(KB),record_size(KB),num_threads,memory_size,throughput(KB/ms)
64,32,1,1,1235629.550811273
64,32,1,2,647023.7732287523
64,32,1,4,561758.448115062
64,32,1,8,854669.684822502
64,32,1,16,516719.8085159696
64,32,1,32,763252.7838840418
64,32,1,64,753087.1165513973
64,32,1,128,1394558.5743916326
64,32,2,1,670774.4725612593
64,32,2,2,1464684.2511243515
64,32,2,4,1243813.391114378
64,32,2,8,872708.1070739442
64,32,2,16,1444260.9395476764
64,32,2,32,766707.1818130868
64,32,2,64,1421282.0706436562
64,32,2,128,1402044.4868964932
64,32,4,1,1394967.9910959995
64,32,4,2,1453631.0529776663
64,32,4,4,661987.6408239527
64,32,4,8,1054039.5448339016
64,32,4,16,1724354.1344702998
64,32,4,32,767699.5870390786
64,32,4,64,1719299.5900146298
64,32,4,128,763460.3095943508
64,32,8,1,994923.7699778382
64,32,8,2,1464396.0899529522
64,32,8,4,1035066.0983919278
64,32,8,8,1468056.916538765
64,32,8,16,767098.0899626788
64,32,8,32,598212.291011456
64,32,8,64,870601.0911959304
64,32,8,128,893638.2193042561
64,32,16,1,1006092.538764989
64,32,16,2,1458656.3214753522
64,32,16,4,1049266.1342143796
64,32,16,8,1456250.3004367317
64,32,16,16,1206629.2122854767
64,32,16,32,596409.3329521031
64,32,16,64,655362.3650483746
64,32,16,128,869626.3084489057
64,32,32,1,998254.0800626938
64,32,32,2,2149781.146408572
64,32,32,4,1187072.957086745
64,32,32,8,772108.7639060008
64,32,32,16,761790.5868818447
64,32,32,32,671700.2726420214
64,32,32,64,880980.4118071568
64,32,32,128,893961.0365269547
64,32,64,1,867923.5044936215
64,32,64,2,660441.5654629235
64,32,64,4,765409.9799240077
64,32,64,8,1212819.0046734267
64,32,64,16,721735.3751045045
64,32,64,32,494097.2921502683
64,32,64,64,887029.1499437755
64,32,64,128,564606.5581785038
64,32,128,1,682221.0950617039
64,32,128,2,789350.6228154722
64,32,128,4,922673.001032671
64,32,128,8,336946.54871709005
64,32,128,16,884449.0308841779
64,32,128,32,750888.7132139602
64,32,128,64,871460.6632145024
64,32,128,128,750560.1402307035
256,32,1,1,6353781.278085218
256,32,1,2,3917347.707294575
256,32,1,4,5063516.63144998
256,32,1,8,4521592.712056353
256,32,1,16,3058448.7911364012
256,32,1,32,7530343.793954349
256,32,1,64,7848855.765158391
256,32,1,128,7405256.344583278
256,32,2,1,5375185.257682914
256,32,2,2,5864255.119489881
256,32,2,4,6781767.365183339
256,32,2,8,7652188.563859998
256,32,2,16,6918911.249513855
256,32,2,32,4549769.678560475
256,32,2,64,8302100.4955420755
256,32,2,128,7010340.299554628
256,32,4,1,7188329.951355487
256,32,4,2,6359241.931124378
256,32,4,4,3922910.859424892
256,32,4,8,8582730.335539015
256,32,4,16,7486371.097389092
